A3MGO2;LIC PRO MGO (AP);LIC PRO Management et gestion des organisations (Apprentissage);3;IUTB
A3MGO3;LIC PRO MGO (FC);LIC PRO Management et gestion des organisations (FC);3;IUTB
A3MGO4;LIC PRO MGO (Casablanca);LIC PRO Management et gestion des organisations (Casa);3;IUTB
A3MGO5;LIC PRO MGO (Marrackech);LIC PRO Management et gestion des organisations (ESMA);3;IUTB
A3MGO6;LIC PRO MGO (Rabat);LIC PRO Management et gestion des organisations (Rabat);3;IUTB
A3ND;LIC PRO ATC op NETSURF;LIC PRO ACTIVITES ET TECHNIQUES DE COMMUNICATION op NETSURFER ET DOCUMENTALISTE MULTIMEDIA;3;IUTB
A3ND2;LIC PRO ATC op NETSU(AP);LIC PRO ATC op NETSURFER ET DOCUMENTALISTE MULTIMEDIA (Apprentissage);3;IUTB
A3RDB;LIC PRO RDB sp GCL;LIC PRO Ressources documentaires et Bases de Données sp GCL;3;IUTB
A3RDB2;LIC PRO RDB sp GCL (AP);LIC PRO RDB sp GCL (Apprentissage);3;IUTB
A3RDB3;LIC PRO RDB sp GCL(FC);LIC PRO RDB sp GCL(FC);3;IUTB
A3TC;LIC PRO ABF spTCOB;LIC PRO Assurance Banque Finance sp TCOB;3;IUTB
A3TC2;LIC PRO ABF sp TCOB (AP);LIC PRO ABF sp TCOB (Apprentissage);3;IUTB
A3TC3;LIC PRO ABF sp TCOB (FC);LIC PRO ABF sp TCOB (FC);3;IUTB
A3WEB;LIC PRO TSI paWEB;LIC PRO Technique du son et de l'image paInfografiste webdesigner;3;IUTB
A3WEB2;LIC PRO TSI paWEB (AP);LIC PRO Technique du son et de l'image pa Infographiste webdesigner (Apprentissage);3;IUTB
AUDE;PREPA DEASS;PRÉPARATION AU DEASS;X;IUTB
AVAE;VAE IUT BOBIGNY;VALIDATION DES ACQUIS DE L'EXPÉRIENCE IUT BOBIGNY;X;IUTB
P1SG;DUT SGM an1;DUT SCIENCE ET GENIE DES MATERIAUX  an1;1;IUTSD
P1SG1;DUT SGM an1 (CP);DUT SCIENCE ET GÉNIE DES MATÉRIAUX an1 (CP);1;IUTSD
P1SG2;DUT SGM an1 (AP);DUT SCIENCE ET GENIE DES MATERIAUX an1 (Apprentissage);1;IUTSD
P1TC;DUT TC an1(LaPlaine);DUT TECHNIQUES DE COMMERCIALISATION an1;1;IUTSD
S1CII;C2I niv 1;Certificat informatique et internet niv 1;1;IUTSD
S1GE;DUT GEA an1;DUT GESTION DES ENTREPRISES ET DES ADMINISTRATIONS an1;1;IUTSD
S1GEA;DUT GEA sem 1décalé;DUT GESTION DES ENTREPRISES ET DES ADMINISTRATIONS décalé sem 1;1;IUTSD
